Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
1,5.83103,2047,null,null,null,null,null,null,null,null,null,null,null,null
2,5.83178,2047,null,null,null,null,null,null,null,null,null,null,null,null
3,5.83279,29,null,null,null,null,null,null,null,null,null,null,null,null
4,5.83382,-1911,null,null,null,null,null,null,null,null,null,null,null,null
5,5.83532,-2048,null,null,null,null,null,null,null,null,null,null,null,null
6,5.83633,-2048,null,null,null,null,null,null,null,null,null,null,null,null
7,5.83807,-1530,null,null,null,null,null,null,null,null,null,null,null,null
8,5.83892,844,null,null,null,null,null,null,null,null,null,null,null,null
9,5.84003,2047,null,null,null,null,null,null,null,null,null,null,null,null
10,5.84098,2047,null,null,null,null,null,null,null,null,null,null,null,null
11,5.84176,1417,null,null,null,null,null,null,null,null,null,null,null,null
12,5.84299,-1138,null,null,null,null,null,null,null,null,null,null,null,null
13,5.84460,-2048,null,null,null,null,null,null,null,null,null,null,null,null
14,5.84539,-2048,null,null,null,null,null,null,null,null,null,null,null,null
15,5.84808,-2048,null,null,null,null,null,null,null,null,null,null,null,null
16,5.84894,-1719,null,null,null,null,null,null,null,null,null,null,null,null
17,5.84959,-996,null,null,null,null,null,null,null,null,null,null,null,null
18,5.85030,1096,null,null,null,null,null,null,null,null,null,null,null,null
19,5.85093,1824,null,null,null,null,null,null,null,null,null,null,null,null
20,5.85159,137,null,null,null,null,null,null,null,null,null,null,null,null
21,5.85412,-1962,null,null,null,null,null,null,null,null,null,null,null,null
22,5.85483,-2048,null,null,null,null,null,null,null,null,null,null,null,null
23,5.85531,-2048,null,null,null,null,null,null,null,null,null,null,null,null
24,5.85575,-1798,null,null,null,null,null,null,null,null,null,null,null,null
25,5.85619,697,null,null,null,null,null,null,null,null,null,null,null,null
26,5.85667,2047,null,null,null,null,null,null,null,null,null,null,null,null
27,5.85714,2047,null,null,null,null,null,null,null,null,null,null,null,null
28,5.85817,2047,null,null,null,null,null,null,null,null,null,null,null,null
29,5.85882,-390,null,null,null,null,null,null,null,null,null,null,null,null
30,5.85960,-1965,null,null,null,null,null,null,null,null,null,null,null,null
31,5.86027,-2048,null,null,null,null,null,null,null,null,null,null,null,null
32,5.86066,-2048,null,null,null,null,null,null,null,null,null,null,null,null
33,5.86121,-1234,null,null,null,null,null,null,null,null,null,null,null,null
34,5.86193,1671,null,null,null,null,null,null,null,null,null,null,null,null
35,5.86234,2047,null,null,null,null,null,null,null,null,null,null,null,null
36,5.86355,2047,null,null,null,null,null,null,null,null,null,null,null,null
37,5.86415,786,null,null,null,null,null,null,null,null,null,null,null,null
38,5.86449,-1319,null,null,null,null,null,null,null,null,null,null,null,null
39,5.86477,-2009,null,null,null,null,null,null,null,null,null,null,null,null
40,5.86502,-2048,null,null,null,null,null,null,null,null,null,null,null,null
41,5.86531,-1842,null,null,null,null,null,null,null,null,null,null,null,null
42,5.86562,137,null,null,null,null,null,null,null,null,null,null,null,null
43,5.86588,2047,null,null,null,null,null,null,null,null,null,null,null,null
44,5.86644,2047,null,null,null,null,null,null,null,null,null,null,null,null
45,5.87172,1850,null,null,null,null,null,null,null,null,null,null,null,null
46,5.87225,-792,null,null,null,null,null,null,null,null,null,null,null,null
47,5.87270,-2048,null,null,null,null,null,null,null,null,null,null,null,null
48,5.87309,-2048,null,null,null,null,null,null,null,null,null,null,null,null
49,5.87340,-1981,null,null,null,null,null,null,null,null,null,null,null,null
50,5.87378,-772,null,null,null,null,null,null,null,null,null,null,null,null
51,5.87432,1920,null,null,null,null,null,null,null,null,null,null,null,null
52,5.87471,2047,null,null,null,null,null,null,null,null,null,null,null,null
53,5.87547,2047,null,null,null,null,null,null,null,null,null,null,null,null
54,5.87584,667,null,null,null,null,null,null,null,null,null,null,null,null
55,5.87621,-1579,null,null,null,null,null,null,null,null,null,null,null,null
56,5.87646,-2048,null,null,null,null,null,null,null,null,null,null,null,null
57,5.87862,-2048,null,null,null,null,null,null,null,null,null,null,null,null
58,5.87891,-1897,null,null,null,null,null,null,null,null,null,null,null,null
59,5.87917,140,null,null,null,null,null,null,null,null,null,null,null,null
60,5.87943,2047,null,null,null,null,null,null,null,null,null,null,null,null
61,5.87968,2047,null,null,null,null,null,null,null,null,null,null,null,null
62,5.88001,2040,null,null,null,null,null,null,null,null,null,null,null,null
63,5.88026,-676,null,null,null,null,null,null,null,null,null,null,null,null
64,5.88042,-2048,null,null,null,null,null,null,null,null,null,null,null,null
65,5.88055,-2048,null,null,null,null,null,null,null,null,null,null,null,null
66,5.88068,-2048,null,null,null,null,null,null,null,null,null,null,null,null
67,5.88081,-1130,null,null,null,null,null,null,null,null,null,null,null,null
68,5.88093,1592,null,null,null,null,null,null,null,null,null,null,null,null
69,5.88107,2047,null,null,null,null,null,null,null,null,null,null,null,null
70,5.88120,2047,null,null,null,null,null,null,null,null,null,null,null,null
71,5.88156,723,null,null,null,null,null,null,null,null,null,null,null,null
72,5.88174,-1560,null,null,null,null,null,null,null,null,null,null,null,null
73,5.88190,-2048,null,null,null,null,null,null,null,null,null,null,null,null
74,5.88203,-2048,null,null,null,null,null,null,null,null,null,null,null,null
75,5.88216,-1971,null,null,null,null,null,null,null,null,null,null,null,null
76,5.88300,-69,null,null,null,null,null,null,null,null,null,null,null,null
77,5.88313,2047,null,null,null,null,null,null,null,null,null,null,null,null
78,5.88324,2047,null,null,null,null,null,null,null,null,null,null,null,null
79,5.88390,2047,null,null,null,null,null,null,null,null,null,null,null,null
80,5.88406,-441,null,null,null,null,null,null,null,null,null,null,null,null
81,5.88446,-2048,null,null,null,null,null,null,null,null,null,null,null,null
82,5.88474,-2048,null,null,null,null,null,null,null,null,null,null,null,null
83,5.88509,-2048,null,null,null,null,null,null,null,null,null,null,null,null
84,5.88529,-2048,null,null,null,null,null,null,null,null,null,null,null,null
85,5.88549,-1037,null,null,null,null,null,null,null,null,null,null,null,null
86,5.88563,1624,null,null,null,null,null,null,null,null,null,null,null,null
87,5.88580,2047,null,null,null,null,null,null,null,null,null,null,null,null
88,5.88607,262,null,null,null,null,null,null,null,null,null,null,null,null
89,5.88622,-2007,null,null,null,null,null,null,null,null,null,null,null,null
90,5.88635,-2048,null,null,null,null,null,null,null,null,null,null,null,null
91,5.88649,-2048,null,null,null,null,null,null,null,null,null,null,null,null
92,5.88663,-1745,null,null,null,null,null,null,null,null,null,null,null,null
93,5.88675,449,null,null,null,null,null,null,null,null,null,null,null,null
94,5.88703,2047,null,null,null,null,null,null,null,null,null,null,null,null
95,5.88718,2047,null,null,null,null,null,null,null,null,null,null,null,null
96,5.88730,2047,null,null,null,null,null,null,null,null,null,null,null,null
97,5.88744,-227,null,null,null,null,null,null,null,null,null,null,null,null
98,5.90531,-2048,null,null,null,null,null,null,null,null,null,null,null,null
99,5.90560,-2048,null,null,null,null,null,null,null,null,null,null,null,null
100,5.90909,-2048,null,null,null,null,null,null,null,null,null,null,null,null
101,5.91010,-1532,null,null,null,null,null,null,null,null,null,null,null,null
102,5.91233,1158,null,null,null,null,null,null,null,null,null,null,null,null
103,5.91263,2047,null,null,null,null,null,null,null,null,null,null,null,null
