Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
25001,49.30071,9,null,null,null,null,null,null,null,null,null,null,null,null
25002,49.30096,36,null,null,null,null,null,null,null,null,null,null,null,null
25003,49.30115,48,null,null,null,null,null,null,null,null,null,null,null,null
25004,49.30130,26,null,null,null,null,null,null,null,null,null,null,null,null
25005,49.30147,12,null,null,null,null,null,null,null,null,null,null,null,null
25006,49.30164,33,null,null,null,null,null,null,null,null,null,null,null,null
25007,49.30181,57,null,null,null,null,null,null,null,null,null,null,null,null
25008,49.34349,52,null,null,null,null,null,null,null,null,null,null,null,null
25009,49.34375,22,null,null,null,null,null,null,null,null,null,null,null,null
25010,49.34406,23,null,null,null,null,null,null,null,null,null,null,null,null
25011,49.34434,56,null,null,null,null,null,null,null,null,null,null,null,null
25012,49.34459,66,null,null,null,null,null,null,null,null,null,null,null,null
25013,49.34476,35,null,null,null,null,null,null,null,null,null,null,null,null
25014,49.34492,21,null,null,null,null,null,null,null,null,null,null,null,null
25015,49.34506,44,null,null,null,null,null,null,null,null,null,null,null,null
25016,49.34521,65,null,null,null,null,null,null,null,null,null,null,null,null
25017,49.34534,56,null,null,null,null,null,null,null,null,null,null,null,null
25018,49.34551,52,null,null,null,null,null,null,null,null,null,null,null,null
25019,49.34572,74,null,null,null,null,null,null,null,null,null,null,null,null
25020,49.34587,102,null,null,null,null,null,null,null,null,null,null,null,null
25021,49.34604,106,null,null,null,null,null,null,null,null,null,null,null,null
25022,49.34625,89,null,null,null,null,null,null,null,null,null,null,null,null
25023,49.34642,97,null,null,null,null,null,null,null,null,null,null,null,null
25024,49.34657,109,null,null,null,null,null,null,null,null,null,null,null,null
25025,49.34676,101,null,null,null,null,null,null,null,null,null,null,null,null
25026,49.34693,82,null,null,null,null,null,null,null,null,null,null,null,null
25027,49.40681,99,null,null,null,null,null,null,null,null,null,null,null,null
25028,49.40986,120,null,null,null,null,null,null,null,null,null,null,null,null
25029,49.41042,93,null,null,null,null,null,null,null,null,null,null,null,null
25030,49.41093,49,null,null,null,null,null,null,null,null,null,null,null,null
25031,49.41145,27,null,null,null,null,null,null,null,null,null,null,null,null
25032,49.41175,49,null,null,null,null,null,null,null,null,null,null,null,null
25033,49.41193,65,null,null,null,null,null,null,null,null,null,null,null,null
25034,49.41213,57,null,null,null,null,null,null,null,null,null,null,null,null
25035,49.41230,49,null,null,null,null,null,null,null,null,null,null,null,null
25036,49.41254,52,null,null,null,null,null,null,null,null,null,null,null,null
25037,49.41278,52,null,null,null,null,null,null,null,null,null,null,null,null
25038,49.41299,49,null,null,null,null,null,null,null,null,null,null,null,null
25039,49.41317,58,null,null,null,null,null,null,null,null,null,null,null,null
25040,49.41336,80,null,null,null,null,null,null,null,null,null,null,null,null
25041,49.41354,85,null,null,null,null,null,null,null,null,null,null,null,null
25042,49.41368,66,null,null,null,null,null,null,null,null,null,null,null,null
25043,49.41382,42,null,null,null,null,null,null,null,null,null,null,null,null
25044,49.41400,53,null,null,null,null,null,null,null,null,null,null,null,null
25045,49.41415,71,null,null,null,null,null,null,null,null,null,null,null,null
25046,49.41437,76,null,null,null,null,null,null,null,null,null,null,null,null
25047,49.41483,61,null,null,null,null,null,null,null,null,null,null,null,null
25048,49.41500,51,null,null,null,null,null,null,null,null,null,null,null,null
25049,49.41546,60,null,null,null,null,null,null,null,null,null,null,null,null
25050,49.41581,65,null,null,null,null,null,null,null,null,null,null,null,null
25051,49.41601,45,null,null,null,null,null,null,null,null,null,null,null,null
25052,49.41626,26,null,null,null,null,null,null,null,null,null,null,null,null
25053,49.41644,28,null,null,null,null,null,null,null,null,null,null,null,null
25054,49.41664,41,null,null,null,null,null,null,null,null,null,null,null,null
25055,49.41679,32,null,null,null,null,null,null,null,null,null,null,null,null
25056,49.41693,21,null,null,null,null,null,null,null,null,null,null,null,null
25057,49.41707,40,null,null,null,null,null,null,null,null,null,null,null,null
25058,49.41719,59,null,null,null,null,null,null,null,null,null,null,null,null
25059,49.41737,53,null,null,null,null,null,null,null,null,null,null,null,null
25060,49.41761,12,null,null,null,null,null,null,null,null,null,null,null,null
25061,49.41777,-4,null,null,null,null,null,null,null,null,null,null,null,null
25062,49.41794,11,null,null,null,null,null,null,null,null,null,null,null,null
25063,49.41807,21,null,null,null,null,null,null,null,null,null,null,null,null
25064,49.41819,12,null,null,null,null,null,null,null,null,null,null,null,null
25065,49.41833,21,null,null,null,null,null,null,null,null,null,null,null,null
25066,49.41855,40,null,null,null,null,null,null,null,null,null,null,null,null
25067,49.45584,37,null,null,null,null,null,null,null,null,null,null,null,null
25068,49.45610,16,null,null,null,null,null,null,null,null,null,null,null,null
25069,49.45639,21,null,null,null,null,null,null,null,null,null,null,null,null
25070,49.45657,70,null,null,null,null,null,null,null,null,null,null,null,null
25071,49.45688,109,null,null,null,null,null,null,null,null,null,null,null,null
25072,49.45705,90,null,null,null,null,null,null,null,null,null,null,null,null
25073,49.45723,57,null,null,null,null,null,null,null,null,null,null,null,null
25074,49.45746,58,null,null,null,null,null,null,null,null,null,null,null,null
25075,49.45760,74,null,null,null,null,null,null,null,null,null,null,null,null
25076,49.45774,76,null,null,null,null,null,null,null,null,null,null,null,null
25077,49.45789,57,null,null,null,null,null,null,null,null,null,null,null,null
25078,49.45806,41,null,null,null,null,null,null,null,null,null,null,null,null
25079,49.45820,48,null,null,null,null,null,null,null,null,null,null,null,null
25080,49.45833,64,null,null,null,null,null,null,null,null,null,null,null,null
25081,49.45851,58,null,null,null,null,null,null,null,null,null,null,null,null
25082,49.45871,34,null,null,null,null,null,null,null,null,null,null,null,null
25083,49.45886,25,null,null,null,null,null,null,null,null,null,null,null,null
25084,49.45904,42,null,null,null,null,null,null,null,null,null,null,null,null
25085,49.45919,59,null,null,null,null,null,null,null,null,null,null,null,null
25086,49.50061,74,null,null,null,null,null,null,null,null,null,null,null,null
25087,49.50084,88,null,null,null,null,null,null,null,null,null,null,null,null
25088,49.50119,93,null,null,null,null,null,null,null,null,null,null,null,null
25089,49.50147,83,null,null,null,null,null,null,null,null,null,null,null,null
25090,49.50174,60,null,null,null,null,null,null,null,null,null,null,null,null
25091,49.50195,74,null,null,null,null,null,null,null,null,null,null,null,null
25092,49.50216,101,null,null,null,null,null,null,null,null,null,null,null,null
25093,49.50232,84,null,null,null,null,null,null,null,null,null,null,null,null
25094,49.50249,48,null,null,null,null,null,null,null,null,null,null,null,null
25095,49.50274,32,null,null,null,null,null,null,null,null,null,null,null,null
