Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
1,6.27067,70,null,null,null,null,null,null,null,null,null,null,null,null
2,6.27109,56,null,null,null,null,null,null,null,null,null,null,null,null
3,6.27211,44,null,null,null,null,null,null,null,null,null,null,null,null
4,6.27321,43,null,null,null,null,null,null,null,null,null,null,null,null
5,6.27408,41,null,null,null,null,null,null,null,null,null,null,null,null
6,6.27472,37,null,null,null,null,null,null,null,null,null,null,null,null
7,6.27529,53,null,null,null,null,null,null,null,null,null,null,null,null
8,6.27591,88,null,null,null,null,null,null,null,null,null,null,null,null
9,6.27640,87,null,null,null,null,null,null,null,null,null,null,null,null
10,6.27762,56,null,null,null,null,null,null,null,null,null,null,null,null
11,6.27815,28,null,null,null,null,null,null,null,null,null,null,null,null
12,6.27868,26,null,null,null,null,null,null,null,null,null,null,null,null
13,6.27927,42,null,null,null,null,null,null,null,null,null,null,null,null
14,6.27976,68,null,null,null,null,null,null,null,null,null,null,null,null
15,6.28045,84,null,null,null,null,null,null,null,null,null,null,null,null
16,6.28105,76,null,null,null,null,null,null,null,null,null,null,null,null
17,6.28171,60,null,null,null,null,null,null,null,null,null,null,null,null
18,6.28314,51,null,null,null,null,null,null,null,null,null,null,null,null
19,6.28360,54,null,null,null,null,null,null,null,null,null,null,null,null
20,6.30108,60,null,null,null,null,null,null,null,null,null,null,null,null
21,6.30164,69,null,null,null,null,null,null,null,null,null,null,null,null
22,6.30231,71,null,null,null,null,null,null,null,null,null,null,null,null
23,6.30281,75,null,null,null,null,null,null,null,null,null,null,null,null
24,6.30334,89,null,null,null,null,null,null,null,null,null,null,null,null
25,6.30458,103,null,null,null,null,null,null,null,null,null,null,null,null
26,6.30543,92,null,null,null,null,null,null,null,null,null,null,null,null
27,6.30727,69,null,null,null,null,null,null,null,null,null,null,null,null
28,6.30772,60,null,null,null,null,null,null,null,null,null,null,null,null
29,6.30822,73,null,null,null,null,null,null,null,null,null,null,null,null
30,6.30873,69,null,null,null,null,null,null,null,null,null,null,null,null
31,6.30913,45,null,null,null,null,null,null,null,null,null,null,null,null
32,6.31183,41,null,null,null,null,null,null,null,null,null,null,null,null
33,6.31237,59,null,null,null,null,null,null,null,null,null,null,null,null
34,6.31304,58,null,null,null,null,null,null,null,null,null,null,null,null
35,6.31353,34,null,null,null,null,null,null,null,null,null,null,null,null
36,6.31389,11,null,null,null,null,null,null,null,null,null,null,null,null
37,6.31423,16,null,null,null,null,null,null,null,null,null,null,null,null
38,6.33964,36,null,null,null,null,null,null,null,null,null,null,null,null
39,6.34010,58,null,null,null,null,null,null,null,null,null,null,null,null
40,6.34056,61,null,null,null,null,null,null,null,null,null,null,null,null
41,6.34104,66,null,null,null,null,null,null,null,null,null,null,null,null
42,6.34146,77,null,null,null,null,null,null,null,null,null,null,null,null
43,6.34192,86,null,null,null,null,null,null,null,null,null,null,null,null
44,6.34242,84,null,null,null,null,null,null,null,null,null,null,null,null
45,6.34283,75,null,null,null,null,null,null,null,null,null,null,null,null
46,6.34325,67,null,null,null,null,null,null,null,null,null,null,null,null
47,6.34359,43,null,null,null,null,null,null,null,null,null,null,null,null
48,6.34441,21,null,null,null,null,null,null,null,null,null,null,null,null
49,6.34624,22,null,null,null,null,null,null,null,null,null,null,null,null
50,6.34674,48,null,null,null,null,null,null,null,null,null,null,null,null
51,6.34719,69,null,null,null,null,null,null,null,null,null,null,null,null
52,6.34768,70,null,null,null,null,null,null,null,null,null,null,null,null
53,6.34806,55,null,null,null,null,null,null,null,null,null,null,null,null
54,6.34850,48,null,null,null,null,null,null,null,null,null,null,null,null
55,6.34898,48,null,null,null,null,null,null,null,null,null,null,null,null
56,6.34957,56,null,null,null,null,null,null,null,null,null,null,null,null
57,6.35075,59,null,null,null,null,null,null,null,null,null,null,null,null
58,6.35129,52,null,null,null,null,null,null,null,null,null,null,null,null
59,6.35167,43,null,null,null,null,null,null,null,null,null,null,null,null
60,6.35210,42,null,null,null,null,null,null,null,null,null,null,null,null
61,6.35251,45,null,null,null,null,null,null,null,null,null,null,null,null
62,6.35328,54,null,null,null,null,null,null,null,null,null,null,null,null
63,6.35370,67,null,null,null,null,null,null,null,null,null,null,null,null
64,6.35404,57,null,null,null,null,null,null,null,null,null,null,null,null
65,6.35441,27,null,null,null,null,null,null,null,null,null,null,null,null
66,6.35478,24,null,null,null,null,null,null,null,null,null,null,null,null
67,6.35542,42,null,null,null,null,null,null,null,null,null,null,null,null
68,6.35572,52,null,null,null,null,null,null,null,null,null,null,null,null
69,6.35601,53,null,null,null,null,null,null,null,null,null,null,null,null
70,6.35630,44,null,null,null,null,null,null,null,null,null,null,null,null
71,6.35670,32,null,null,null,null,null,null,null,null,null,null,null,null
72,6.35696,38,null,null,null,null,null,null,null,null,null,null,null,null
73,6.35715,55,null,null,null,null,null,null,null,null,null,null,null,null
74,6.35733,48,null,null,null,null,null,null,null,null,null,null,null,null
75,6.45243,38,null,null,null,null,null,null,null,null,null,null,null,null
76,6.45297,54,null,null,null,null,null,null,null,null,null,null,null,null
