Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
1,0.81372,2047,null,null,null,null,null,null,null,null,null,null,null,null
2,0.81449,2047,null,null,null,null,null,null,null,null,null,null,null,null
3,0.81658,2047,null,null,null,null,null,null,null,null,null,null,null,null
4,0.81786,-2048,null,null,null,null,null,null,null,null,null,null,null,null
5,0.81963,-2048,null,null,null,null,null,null,null,null,null,null,null,null
6,0.82083,-2048,null,null,null,null,null,null,null,null,null,null,null,null
7,0.82179,-2048,null,null,null,null,null,null,null,null,null,null,null,null
8,0.82538,1361,null,null,null,null,null,null,null,null,null,null,null,null
9,0.82647,2047,null,null,null,null,null,null,null,null,null,null,null,null
10,0.82827,2047,null,null,null,null,null,null,null,null,null,null,null,null
11,0.83145,2047,null,null,null,null,null,null,null,null,null,null,null,null
12,0.83243,635,null,null,null,null,null,null,null,null,null,null,null,null
13,0.83334,-2048,null,null,null,null,null,null,null,null,null,null,null,null
14,0.83433,-2048,null,null,null,null,null,null,null,null,null,null,null,null
15,0.83564,-2048,null,null,null,null,null,null,null,null,null,null,null,null
16,0.83750,988,null,null,null,null,null,null,null,null,null,null,null,null
17,0.83830,2047,null,null,null,null,null,null,null,null,null,null,null,null
18,0.83899,2047,null,null,null,null,null,null,null,null,null,null,null,null
19,0.85938,2047,null,null,null,null,null,null,null,null,null,null,null,null
20,0.86116,2047,null,null,null,null,null,null,null,null,null,null,null,null
21,0.86181,-2048,null,null,null,null,null,null,null,null,null,null,null,null
22,0.86230,-2048,null,null,null,null,null,null,null,null,null,null,null,null
23,0.86291,-2048,null,null,null,null,null,null,null,null,null,null,null,null
24,0.86351,-2048,null,null,null,null,null,null,null,null,null,null,null,null
25,0.86589,2047,null,null,null,null,null,null,null,null,null,null,null,null
26,0.86645,2047,null,null,null,null,null,null,null,null,null,null,null,null
27,0.86704,2047,null,null,null,null,null,null,null,null,null,null,null,null
28,0.86753,2047,null,null,null,null,null,null,null,null,null,null,null,null
29,0.86915,1456,null,null,null,null,null,null,null,null,null,null,null,null
30,0.87082,-2048,null,null,null,null,null,null,null,null,null,null,null,null
31,0.87167,-2048,null,null,null,null,null,null,null,null,null,null,null,null
32,0.87212,-2048,null,null,null,null,null,null,null,null,null,null,null,null
33,0.87423,-338,null,null,null,null,null,null,null,null,null,null,null,null
34,0.88971,2047,null,null,null,null,null,null,null,null,null,null,null,null
35,0.89022,2047,null,null,null,null,null,null,null,null,null,null,null,null
36,0.89096,2047,null,null,null,null,null,null,null,null,null,null,null,null
37,0.89250,2047,null,null,null,null,null,null,null,null,null,null,null,null
38,0.89316,-2048,null,null,null,null,null,null,null,null,null,null,null,null
39,0.89364,-2048,null,null,null,null,null,null,null,null,null,null,null,null
40,0.89421,-2048,null,null,null,null,null,null,null,null,null,null,null,null
41,0.89564,-2048,null,null,null,null,null,null,null,null,null,null,null,null
42,0.89613,2047,null,null,null,null,null,null,null,null,null,null,null,null
43,0.89666,2047,null,null,null,null,null,null,null,null,null,null,null,null
44,0.89741,2047,null,null,null,null,null,null,null,null,null,null,null,null
45,0.90051,2047,null,null,null,null,null,null,null,null,null,null,null,null
46,0.90109,1848,null,null,null,null,null,null,null,null,null,null,null,null
47,0.90162,-2048,null,null,null,null,null,null,null,null,null,null,null,null
48,0.90212,-2048,null,null,null,null,null,null,null,null,null,null,null,null
49,0.90263,-2048,null,null,null,null,null,null,null,null,null,null,null,null
50,0.92176,-2048,null,null,null,null,null,null,null,null,null,null,null,null
51,0.92245,2047,null,null,null,null,null,null,null,null,null,null,null,null
