Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
20001,39.57832,19,null,null,null,null,null,null,null,null,null,null,null,null
20002,39.57869,35,null,null,null,null,null,null,null,null,null,null,null,null
20003,39.57891,64,null,null,null,null,null,null,null,null,null,null,null,null
20004,39.57906,74,null,null,null,null,null,null,null,null,null,null,null,null
20005,39.57920,66,null,null,null,null,null,null,null,null,null,null,null,null
20006,39.57934,57,null,null,null,null,null,null,null,null,null,null,null,null
20007,39.57948,67,null,null,null,null,null,null,null,null,null,null,null,null
20008,39.57964,89,null,null,null,null,null,null,null,null,null,null,null,null
20009,39.57989,102,null,null,null,null,null,null,null,null,null,null,null,null
20010,39.58005,98,null,null,null,null,null,null,null,null,null,null,null,null
20011,39.58019,92,null,null,null,null,null,null,null,null,null,null,null,null
20012,39.58040,92,null,null,null,null,null,null,null,null,null,null,null,null
20013,39.58054,77,null,null,null,null,null,null,null,null,null,null,null,null
20014,39.58067,55,null,null,null,null,null,null,null,null,null,null,null,null
20015,39.58089,57,null,null,null,null,null,null,null,null,null,null,null,null
20016,39.58105,74,null,null,null,null,null,null,null,null,null,null,null,null
20017,39.58119,66,null,null,null,null,null,null,null,null,null,null,null,null
20018,39.58140,45,null,null,null,null,null,null,null,null,null,null,null,null
20019,39.62307,58,null,null,null,null,null,null,null,null,null,null,null,null
20020,39.62333,80,null,null,null,null,null,null,null,null,null,null,null,null
20021,39.62361,57,null,null,null,null,null,null,null,null,null,null,null,null
20022,39.62387,25,null,null,null,null,null,null,null,null,null,null,null,null
20023,39.62413,36,null,null,null,null,null,null,null,null,null,null,null,null
20024,39.62433,81,null,null,null,null,null,null,null,null,null,null,null,null
20025,39.62450,98,null,null,null,null,null,null,null,null,null,null,null,null
20026,39.62463,76,null,null,null,null,null,null,null,null,null,null,null,null
20027,39.62476,58,null,null,null,null,null,null,null,null,null,null,null,null
20028,39.62495,68,null,null,null,null,null,null,null,null,null,null,null,null
20029,39.62516,80,null,null,null,null,null,null,null,null,null,null,null,null
20030,39.62530,53,null,null,null,null,null,null,null,null,null,null,null,null
20031,39.62542,23,null,null,null,null,null,null,null,null,null,null,null,null
20032,39.62564,17,null,null,null,null,null,null,null,null,null,null,null,null
20033,39.62586,38,null,null,null,null,null,null,null,null,null,null,null,null
20034,39.62600,44,null,null,null,null,null,null,null,null,null,null,null,null
20035,39.62613,32,null,null,null,null,null,null,null,null,null,null,null,null
20036,39.62629,21,null,null,null,null,null,null,null,null,null,null,null,null
20037,39.62646,24,null,null,null,null,null,null,null,null,null,null,null,null
20038,39.68782,29,null,null,null,null,null,null,null,null,null,null,null,null
20039,39.68812,25,null,null,null,null,null,null,null,null,null,null,null,null
20040,39.68865,23,null,null,null,null,null,null,null,null,null,null,null,null
20041,39.68898,34,null,null,null,null,null,null,null,null,null,null,null,null
20042,39.68927,35,null,null,null,null,null,null,null,null,null,null,null,null
20043,39.68956,9,null,null,null,null,null,null,null,null,null,null,null,null
20044,39.68977,-3,null,null,null,null,null,null,null,null,null,null,null,null
20045,39.69004,10,null,null,null,null,null,null,null,null,null,null,null,null
20046,39.69023,26,null,null,null,null,null,null,null,null,null,null,null,null
20047,39.69047,21,null,null,null,null,null,null,null,null,null,null,null,null
20048,39.69074,8,null,null,null,null,null,null,null,null,null,null,null,null
20049,39.69093,23,null,null,null,null,null,null,null,null,null,null,null,null
20050,39.69111,61,null,null,null,null,null,null,null,null,null,null,null,null
20051,39.69134,74,null,null,null,null,null,null,null,null,null,null,null,null
20052,39.69157,42,null,null,null,null,null,null,null,null,null,null,null,null
20053,39.69174,38,null,null,null,null,null,null,null,null,null,null,null,null
20054,39.69187,59,null,null,null,null,null,null,null,null,null,null,null,null
20055,39.69199,58,null,null,null,null,null,null,null,null,null,null,null,null
20056,39.69213,36,null,null,null,null,null,null,null,null,null,null,null,null
20057,39.69227,20,null,null,null,null,null,null,null,null,null,null,null,null
20058,39.69319,33,null,null,null,null,null,null,null,null,null,null,null,null
20059,39.69342,48,null,null,null,null,null,null,null,null,null,null,null,null
20060,39.69395,44,null,null,null,null,null,null,null,null,null,null,null,null
20061,39.69428,34,null,null,null,null,null,null,null,null,null,null,null,null
20062,39.69457,43,null,null,null,null,null,null,null,null,null,null,null,null
20063,39.69476,75,null,null,null,null,null,null,null,null,null,null,null,null
20064,39.69496,76,null,null,null,null,null,null,null,null,null,null,null,null
20065,39.69518,42,null,null,null,null,null,null,null,null,null,null,null,null
20066,39.69622,22,null,null,null,null,null,null,null,null,null,null,null,null
20067,39.69638,36,null,null,null,null,null,null,null,null,null,null,null,null
20068,39.69759,54,null,null,null,null,null,null,null,null,null,null,null,null
20069,39.69776,37,null,null,null,null,null,null,null,null,null,null,null,null
20070,39.69790,20,null,null,null,null,null,null,null,null,null,null,null,null
20071,39.69803,33,null,null,null,null,null,null,null,null,null,null,null,null
20072,39.69822,44,null,null,null,null,null,null,null,null,null,null,null,null
20073,39.69841,40,null,null,null,null,null,null,null,null,null,null,null,null
20074,39.69854,39,null,null,null,null,null,null,null,null,null,null,null,null
