Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
60001,117.54410,20,null,null,null,null,null,null,null,null,null,null,null,null
60002,117.54440,61,null,null,null,null,null,null,null,null,null,null,null,null
60003,117.54458,103,null,null,null,null,null,null,null,null,null,null,null,null
60004,117.54543,112,null,null,null,null,null,null,null,null,null,null,null,null
60005,117.54584,97,null,null,null,null,null,null,null,null,null,null,null,null
60006,117.54614,87,null,null,null,null,null,null,null,null,null,null,null,null
60007,117.54630,85,null,null,null,null,null,null,null,null,null,null,null,null
60008,117.54643,73,null,null,null,null,null,null,null,null,null,null,null,null
60009,117.54659,54,null,null,null,null,null,null,null,null,null,null,null,null
60010,117.54677,43,null,null,null,null,null,null,null,null,null,null,null,null
60011,117.54692,69,null,null,null,null,null,null,null,null,null,null,null,null
60012,117.54708,88,null,null,null,null,null,null,null,null,null,null,null,null
60013,117.54721,60,null,null,null,null,null,null,null,null,null,null,null,null
60014,117.54736,40,null,null,null,null,null,null,null,null,null,null,null,null
60015,117.54748,64,null,null,null,null,null,null,null,null,null,null,null,null
60016,117.59917,103,null,null,null,null,null,null,null,null,null,null,null,null
60017,117.59959,121,null,null,null,null,null,null,null,null,null,null,null,null
60018,117.60235,121,null,null,null,null,null,null,null,null,null,null,null,null
60019,117.60401,135,null,null,null,null,null,null,null,null,null,null,null,null
60020,117.60573,141,null,null,null,null,null,null,null,null,null,null,null,null
60021,117.60906,121,null,null,null,null,null,null,null,null,null,null,null,null
60022,117.60925,97,null,null,null,null,null,null,null,null,null,null,null,null
60023,117.61334,114,null,null,null,null,null,null,null,null,null,null,null,null
60024,117.61691,137,null,null,null,null,null,null,null,null,null,null,null,null
60025,117.61794,125,null,null,null,null,null,null,null,null,null,null,null,null
60026,117.61930,97,null,null,null,null,null,null,null,null,null,null,null,null
60027,117.61948,88,null,null,null,null,null,null,null,null,null,null,null,null
60028,117.61962,107,null,null,null,null,null,null,null,null,null,null,null,null
60029,117.62006,114,null,null,null,null,null,null,null,null,null,null,null,null
60030,117.62020,83,null,null,null,null,null,null,null,null,null,null,null,null
60031,117.62032,71,null,null,null,null,null,null,null,null,null,null,null,null
60032,117.62044,98,null,null,null,null,null,null,null,null,null,null,null,null
60033,117.62066,116,null,null,null,null,null,null,null,null,null,null,null,null
60034,117.62081,107,null,null,null,null,null,null,null,null,null,null,null,null
60035,117.62094,103,null,null,null,null,null,null,null,null,null,null,null,null
60036,117.63276,122,null,null,null,null,null,null,null,null,null,null,null,null
60037,117.63298,141,null,null,null,null,null,null,null,null,null,null,null,null
60038,117.63324,136,null,null,null,null,null,null,null,null,null,null,null,null
60039,117.63346,121,null,null,null,null,null,null,null,null,null,null,null,null
60040,117.63369,129,null,null,null,null,null,null,null,null,null,null,null,null
60041,117.63383,146,null,null,null,null,null,null,null,null,null,null,null,null
60042,117.63396,122,null,null,null,null,null,null,null,null,null,null,null,null
60043,117.63412,64,null,null,null,null,null,null,null,null,null,null,null,null
60044,117.63429,33,null,null,null,null,null,null,null,null,null,null,null,null
60045,117.63443,64,null,null,null,null,null,null,null,null,null,null,null,null
60046,117.63455,89,null,null,null,null,null,null,null,null,null,null,null,null
60047,117.63471,57,null,null,null,null,null,null,null,null,null,null,null,null
60048,117.63488,21,null,null,null,null,null,null,null,null,null,null,null,null
60049,117.63502,39,null,null,null,null,null,null,null,null,null,null,null,null
60050,117.63513,69,null,null,null,null,null,null,null,null,null,null,null,null
60051,117.63533,55,null,null,null,null,null,null,null,null,null,null,null,null
60052,117.63549,28,null,null,null,null,null,null,null,null,null,null,null,null
60053,117.63563,22,null,null,null,null,null,null,null,null,null,null,null,null
60054,117.63581,21,null,null,null,null,null,null,null,null,null,null,null,null
60055,117.63592,4,null,null,null,null,null,null,null,null,null,null,null,null
60056,117.66027,-27,null,null,null,null,null,null,null,null,null,null,null,null
60057,117.66054,-29,null,null,null,null,null,null,null,null,null,null,null,null
60058,117.66087,8,null,null,null,null,null,null,null,null,null,null,null,null
60059,117.66114,37,null,null,null,null,null,null,null,null,null,null,null,null
60060,117.66136,20,null,null,null,null,null,null,null,null,null,null,null,null
60061,117.66150,7,null,null,null,null,null,null,null,null,null,null,null,null
60062,117.66163,32,null,null,null,null,null,null,null,null,null,null,null,null
60063,117.66183,42,null,null,null,null,null,null,null,null,null,null,null,null
60064,117.66205,18,null,null,null,null,null,null,null,null,null,null,null,null
60065,117.66219,11,null,null,null,null,null,null,null,null,null,null,null,null
60066,117.66231,49,null,null,null,null,null,null,null,null,null,null,null,null
60067,117.66245,81,null,null,null,null,null,null,null,null,null,null,null,null
60068,117.66257,65,null,null,null,null,null,null,null,null,null,null,null,null
60069,117.66269,39,null,null,null,null,null,null,null,null,null,null,null,null
60070,117.66283,58,null,null,null,null,null,null,null,null,null,null,null,null
60071,117.66295,82,null,null,null,null,null,null,null,null,null,null,null,null
60072,117.66306,68,null,null,null,null,null,null,null,null,null,null,null,null
60073,117.66322,37,null,null,null,null,null,null,null,null,null,null,null,null
60074,117.66337,44,null,null,null,null,null,null,null,null,null,null,null,null
60075,117.70036,85,null,null,null,null,null,null,null,null,null,null,null,null
60076,117.70060,106,null,null,null,null,null,null,null,null,null,null,null,null
60077,117.70084,97,null,null,null,null,null,null,null,null,null,null,null,null
60078,117.70112,97,null,null,null,null,null,null,null,null,null,null,null,null
60079,117.70135,114,null,null,null,null,null,null,null,null,null,null,null,null
60080,117.70189,106,null,null,null,null,null,null,null,null,null,null,null,null
60081,117.70248,82,null,null,null,null,null,null,null,null,null,null,null,null
60082,117.70267,77,null,null,null,null,null,null,null,null,null,null,null,null
60083,117.70281,101,null,null,null,null,null,null,null,null,null,null,null,null
60084,117.70303,120,null,null,null,null,null,null,null,null,null,null,null,null
60085,117.70321,115,null,null,null,null,null,null,null,null,null,null,null,null
60086,117.70334,99,null,null,null,null,null,null,null,null,null,null,null,null
60087,117.70349,105,null,null,null,null,null,null,null,null,null,null,null,null
60088,117.70372,114,null,null,null,null,null,null,null,null,null,null,null,null
60089,117.70386,91,null,null,null,null,null,null,null,null,null,null,null,null
60090,117.70402,65,null,null,null,null,null,null,null,null,null,null,null,null
60091,117.70426,73,null,null,null,null,null,null,null,null,null,null,null,null
60092,117.70439,106,null,null,null,null,null,null,null,null,null,null,null,null
60093,117.70451,100,null,null,null,null,null,null,null,null,null,null,null,null
60094,117.70463,64,null,null,null,null,null,null,null,null,null,null,null,null
60095,117.74541,42,null,null,null,null,null,null,null,null,null,null,null,null
60096,117.74582,56,null,null,null,null,null,null,null,null,null,null,null,null
60097,117.74621,81,null,null,null,null,null,null,null,null,null,null,null,null
60098,117.74770,71,null,null,null,null,null,null,null,null,null,null,null,null
60099,117.74844,56,null,null,null,null,null,null,null,null,null,null,null,null
60100,117.74873,71,null,null,null,null,null,null,null,null,null,null,null,null
60101,117.74892,86,null,null,null,null,null,null,null,null,null,null,null,null
60102,117.74921,66,null,null,null,null,null,null,null,null,null,null,null,null
60103,117.74947,35,null,null,null,null,null,null,null,null,null,null,null,null
60104,117.74971,59,null,null,null,null,null,null,null,null,null,null,null,null
60105,117.74987,108,null,null,null,null,null,null,null,null,null,null,null,null
60106,117.75010,114,null,null,null,null,null,null,null,null,null,null,null,null
60107,117.75036,89,null,null,null,null,null,null,null,null,null,null,null,null
60108,117.75051,75,null,null,null,null,null,null,null,null,null,null,null,null
60109,117.75105,88,null,null,null,null,null,null,null,null,null,null,null,null
60110,117.75130,97,null,null,null,null,null,null,null,null,null,null,null,null
60111,117.75179,76,null,null,null,null,null,null,null,null,null,null,null,null
60112,117.75206,52,null,null,null,null,null,null,null,null,null,null,null,null
60113,117.75228,56,null,null,null,null,null,null,null,null,null,null,null,null
60114,117.79074,71,null,null,null,null,null,null,null,null,null,null,null,null
60115,117.79112,65,null,null,null,null,null,null,null,null,null,null,null,null
60116,117.79152,67,null,null,null,null,null,null,null,null,null,null,null,null
60117,117.79179,100,null,null,null,null,null,null,null,null,null,null,null,null
60118,117.79208,136,null,null,null,null,null,null,null,null,null,null,null,null
60119,117.79236,122,null,null,null,null,null,null,null,null,null,null,null,null
60120,117.79254,84,null,null,null,null,null,null,null,null,null,null,null,null
60121,117.79274,70,null,null,null,null,null,null,null,null,null,null,null,null
60122,117.79306,71,null,null,null,null,null,null,null,null,null,null,null,null
60123,117.79326,57,null,null,null,null,null,null,null,null,null,null,null,null
60124,117.79344,27,null,null,null,null,null,null,null,null,null,null,null,null
60125,117.79374,11,null,null,null,null,null,null,null,null,null,null,null,null
60126,117.79394,22,null,null,null,null,null,null,null,null,null,null,null,null
60127,117.79412,12,null,null,null,null,null,null,null,null,null,null,null,null
60128,117.79434,-10,null,null,null,null,null,null,null,null,null,null,null,null
