Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
0,0.00951,67,null,null,null,null,null,null,null,null,null,null,null,null
1,0.01535,67,null,null,null,null,null,null,null,null,null,null,null,null
2,0.02228,65,null,null,null,null,null,null,null,null,null,null,null,null
3,0.02708,64,null,null,null,null,null,null,null,null,null,null,null,null
4,0.03209,60,null,null,null,null,null,null,null,null,null,null,null,null
5,0.03790,64,null,null,null,null,null,null,null,null,null,null,null,null
6,0.04216,61,null,null,null,null,null,null,null,null,null,null,null,null
7,0.04665,60,null,null,null,null,null,null,null,null,null,null,null,null
8,0.05148,60,null,null,null,null,null,null,null,null,null,null,null,null
9,0.05596,59,null,null,null,null,null,null,null,null,null,null,null,null
10,0.06017,58,null,null,null,null,null,null,null,null,null,null,null,null
11,0.06459,56,null,null,null,null,null,null,null,null,null,null,null,null
12,0.06961,56,null,null,null,null,null,null,null,null,null,null,null,null
13,0.07446,57,null,null,null,null,null,null,null,null,null,null,null,null
14,0.07890,56,null,null,null,null,null,null,null,null,null,null,null,null
15,0.08324,54,null,null,null,null,null,null,null,null,null,null,null,null
16,0.08830,52,null,null,null,null,null,null,null,null,null,null,null,null
17,0.09264,54,null,null,null,null,null,null,null,null,null,null,null,null
18,0.09688,54,null,null,null,null,null,null,null,null,null,null,null,null
19,0.10164,52,null,null,null,null,null,null,null,null,null,null,null,null
20,0.10666,51,null,null,null,null,null,null,null,null,null,null,null,null
21,0.11083,51,null,null,null,null,null,null,null,null,null,null,null,null
22,0.11522,52,null,null,null,null,null,null,null,null,null,null,null,null
23,0.12032,51,null,null,null,null,null,null,null,null,null,null,null,null
24,0.12485,49,null,null,null,null,null,null,null,null,null,null,null,null
25,0.12924,49,null,null,null,null,null,null,null,null,null,null,null,null
26,0.13380,49,null,null,null,null,null,null,null,null,null,null,null,null
27,0.13836,49,null,null,null,null,null,null,null,null,null,null,null,null
28,0.14271,48,null,null,null,null,null,null,null,null,null,null,null,null
29,0.14705,48,null,null,null,null,null,null,null,null,null,null,null,null
30,0.15363,48,null,null,null,null,null,null,null,null,null,null,null,null
31,0.15827,48,null,null,null,null,null,null,null,null,null,null,null,null
32,0.16260,48,null,null,null,null,null,null,null,null,null,null,null,null
33,0.16739,45,null,null,null,null,null,null,null,null,null,null,null,null
34,0.17233,44,null,null,null,null,null,null,null,null,null,null,null,null
35,0.17653,44,null,null,null,null,null,null,null,null,null,null,null,null
36,0.18085,43,null,null,null,null,null,null,null,null,null,null,null,null
37,0.18582,43,null,null,null,null,null,null,null,null,null,null,null,null
38,0.19060,44,null,null,null,null,null,null,null,null,null,null,null,null
39,0.19545,45,null,null,null,null,null,null,null,null,null,null,null,null
40,0.19977,44,null,null,null,null,null,null,null,null,null,null,null,null
41,0.20517,43,null,null,null,null,null,null,null,null,null,null,null,null
42,0.21016,42,null,null,null,null,null,null,null,null,null,null,null,null
43,0.21466,43,null,null,null,null,null,null,null,null,null,null,null,null
44,0.22038,43,null,null,null,null,null,null,null,null,null,null,null,null
45,0.22573,42,null,null,null,null,null,null,null,null,null,null,null,null
46,0.23015,42,null,null,null,null,null,null,null,null,null,null,null,null
47,0.23538,43,null,null,null,null,null,null,null,null,null,null,null,null
48,0.24007,44,null,null,null,null,null,null,null,null,null,null,null,null
49,0.24418,43,null,null,null,null,null,null,null,null,null,null,null,null
50,0.24834,42,null,null,null,null,null,null,null,null,null,null,null,null
51,0.25340,42,null,null,null,null,null,null,null,null,null,null,null,null
52,0.25766,43,null,null,null,null,null,null,null,null,null,null,null,null
53,0.26221,42,null,null,null,null,null,null,null,null,null,null,null,null
54,0.26712,41,null,null,null,null,null,null,null,null,null,null,null,null
55,0.27160,42,null,null,null,null,null,null,null,null,null,null,null,null
56,0.27575,43,null,null,null,null,null,null,null,null,null,null,null,null
57,0.28045,43,null,null,null,null,null,null,null,null,null,null,null,null
58,0.28524,42,null,null,null,null,null,null,null,null,null,null,null,null
59,0.28981,42,null,null,null,null,null,null,null,null,null,null,null,null
60,0.29401,42,null,null,null,null,null,null,null,null,null,null,null,null
61,0.29843,42,null,null,null,null,null,null,null,null,null,null,null,null
62,0.30362,41,null,null,null,null,null,null,null,null,null,null,null,null
63,0.30838,41,null,null,null,null,null,null,null,null,null,null,null,null
64,0.31284,41,null,null,null,null,null,null,null,null,null,null,null,null
65,0.31806,42,null,null,null,null,null,null,null,null,null,null,null,null
66,0.32274,42,null,null,null,null,null,null,null,null,null,null,null,null
67,0.32722,42,null,null,null,null,null,null,null,null,null,null,null,null
68,0.33197,43,null,null,null,null,null,null,null,null,null,null,null,null
69,0.33727,43,null,null,null,null,null,null,null,null,null,null,null,null
70,0.34205,42,null,null,null,null,null,null,null,null,null,null,null,null
71,0.34650,41,null,null,null,null,null,null,null,null,null,null,null,null
72,0.35087,42,null,null,null,null,null,null,null,null,null,null,null,null
73,0.35612,42,null,null,null,null,null,null,null,null,null,null,null,null
74,0.36254,42,null,null,null,null,null,null,null,null,null,null,null,null
75,0.36724,42,null,null,null,null,null,null,null,null,null,null,null,null
76,0.37257,41,null,null,null,null,null,null,null,null,null,null,null,null
77,0.37768,37,null,null,null,null,null,null,null,null,null,null,null,null
78,0.38248,-18,null,null,null,null,null,null,null,null,null,null,null,null
79,0.38816,33,null,null,null,null,null,null,null,null,null,null,null,null
80,0.39282,48,null,null,null,null,null,null,null,null,null,null,null,null
81,0.39723,44,null,null,null,null,null,null,null,null,null,null,null,null
82,0.40242,43,null,null,null,null,null,null,null,null,null,null,null,null
83,0.40709,43,null,null,null,null,null,null,null,null,null,null,null,null
84,0.41143,42,null,null,null,null,null,null,null,null,null,null,null,null
85,0.41579,41,null,null,null,null,null,null,null,null,null,null,null,null
86,0.42100,5,null,null,null,null,null,null,null,null,null,null,null,null
87,0.42511,-3,null,null,null,null,null,null,null,null,null,null,null,null
88,0.42961,44,null,null,null,null,null,null,null,null,null,null,null,null
89,0.43498,43,null,null,null,null,null,null,null,null,null,null,null,null
90,0.43978,22,null,null,null,null,null,null,null,null,null,null,null,null
91,0.44404,-53,null,null,null,null,null,null,null,null,null,null,null,null
92,0.44865,-81,null,null,null,null,null,null,null,null,null,null,null,null
93,0.45370,-167,null,null,null,null,null,null,null,null,null,null,null,null
94,0.45789,-609,null,null,null,null,null,null,null,null,null,null,null,null
95,0.46232,-1181,null,null,null,null,null,null,null,null,null,null,null,null
96,0.46717,-920,null,null,null,null,null,null,null,null,null,null,null,null
97,0.47198,-582,null,null,null,null,null,null,null,null,null,null,null,null
98,0.47635,-925,null,null,null,null,null,null,null,null,null,null,null,null
99,0.48051,-2048,null,null,null,null,null,null,null,null,null,null,null,null
100,0.48531,-2048,null,null,null,null,null,null,null,null,null,null,null,null
101,0.48985,-2048,null,null,null,null,null,null,null,null,null,null,null,null
102,0.49426,-2048,null,null,null,null,null,null,null,null,null,null,null,null
103,0.49865,-2048,null,null,null,null,null,null,null,null,null,null,null,null
104,0.50428,-2048,null,null,null,null,null,null,null,null,null,null,null,null
105,0.50858,-2048,null,null,null,null,null,null,null,null,null,null,null,null
106,0.51274,-2048,null,null,null,null,null,null,null,null,null,null,null,null
107,0.51787,-2048,null,null,null,null,null,null,null,null,null,null,null,null
108,0.52265,-2048,null,null,null,null,null,null,null,null,null,null,null,null
109,0.52747,-2048,null,null,null,null,null,null,null,null,null,null,null,null
110,0.53186,-2048,null,null,null,null,null,null,null,null,null,null,null,null
111,0.53692,-2048,null,null,null,null,null,null,null,null,null,null,null,null
112,0.54112,-2048,null,null,null,null,null,null,null,null,null,null,null,null
113,0.54545,-2048,null,null,null,null,null,null,null,null,null,null,null,null
114,0.55015,-2048,null,null,null,null,null,null,null,null,null,null,null,null
115,0.55519,-2048,null,null,null,null,null,null,null,null,null,null,null,null
116,0.55943,-2048,null,null,null,null,null,null,null,null,null,null,null,null
117,0.56355,-2048,null,null,null,null,null,null,null,null,null,null,null,null
118,0.56829,-2048,null,null,null,null,null,null,null,null,null,null,null,null
119,0.57267,-2048,null,null,null,null,null,null,null,null,null,null,null,null
120,0.57698,-2048,null,null,null,null,null,null,null,null,null,null,null,null
121,0.58161,-2048,null,null,null,null,null,null,null,null,null,null,null,null
122,0.58642,-2048,null,null,null,null,null,null,null,null,null,null,null,null
123,0.59107,-2048,null,null,null,null,null,null,null,null,null,null,null,null
124,0.59568,-1992,null,null,null,null,null,null,null,null,null,null,null,null
125,0.60051,-1922,null,null,null,null,null,null,null,null,null,null,null,null
126,0.60624,-1850,null,null,null,null,null,null,null,null,null,null,null,null
127,0.61123,-1781,null,null,null,null,null,null,null,null,null,null,null,null
128,0.61606,-1716,null,null,null,null,null,null,null,null,null,null,null,null
129,0.62119,-1652,null,null,null,null,null,null,null,null,null,null,null,null
130,0.62587,-1590,null,null,null,null,null,null,null,null,null,null,null,null
131,0.63057,-1529,null,null,null,null,null,null,null,null,null,null,null,null
132,0.63643,-1474,null,null,null,null,null,null,null,null,null,null,null,null
133,0.64085,-1419,null,null,null,null,null,null,null,null,null,null,null,null
134,0.64543,-1366,null,null,null,null,null,null,null,null,null,null,null,null
135,0.65091,-1315,null,null,null,null,null,null,null,null,null,null,null,null
136,0.65578,-1265,null,null,null,null,null,null,null,null,null,null,null,null
137,0.66044,-1218,null,null,null,null,null,null,null,null,null,null,null,null
138,0.66556,-1171,null,null,null,null,null,null,null,null,null,null,null,null
139,0.67332,-1125,null,null,null,null,null,null,null,null,null,null,null,null
140,0.67887,-1075,null,null,null,null,null,null,null,null,null,null,null,null
141,0.68579,-1043,null,null,null,null,null,null,null,null,null,null,null,null
142,0.69085,-1003,null,null,null,null,null,null,null,null,null,null,null,null
143,0.69566,-950,null,null,null,null,null,null,null,null,null,null,null,null
144,0.70217,-167,null,null,null,null,null,null,null,null,null,null,null,null
145,0.70680,1762,null,null,null,null,null,null,null,null,null,null,null,null
146,0.71168,2047,null,null,null,null,null,null,null,null,null,null,null,null
147,0.71752,2047,null,null,null,null,null,null,null,null,null,null,null,null
148,0.72233,2047,null,null,null,null,null,null,null,null,null,null,null,null
149,0.72733,2006,null,null,null,null,null,null,null,null,null,null,null,null
150,0.73235,230,null,null,null,null,null,null,null,null,null,null,null,null
151,0.73761,-566,null,null,null,null,null,null,null,null,null,null,null,null
152,0.74221,571,null,null,null,null,null,null,null,null,null,null,null,null
153,0.74680,1632,null,null,null,null,null,null,null,null,null,null,null,null
154,0.75151,1594,null,null,null,null,null,null,null,null,null,null,null,null
155,0.75606,1547,null,null,null,null,null,null,null,null,null,null,null,null
156,0.76046,2047,null,null,null,null,null,null,null,null,null,null,null,null
157,0.76474,2047,null,null,null,null,null,null,null,null,null,null,null,null
158,0.77056,2047,null,null,null,null,null,null,null,null,null,null,null,null
159,0.77485,1034,null,null,null,null,null,null,null,null,null,null,null,null
160,0.77929,919,null,null,null,null,null,null,null,null,null,null,null,null
161,0.78366,2047,null,null,null,null,null,null,null,null,null,null,null,null
162,0.78907,2047,null,null,null,null,null,null,null,null,null,null,null,null
163,0.79368,null,0,0,348013,157724,132673,82723,99447,150321,137657,74343,200,null
164,0.79847,1861,null,null,null,null,null,null,null,null,null,null,null,null
165,0.80414,1815,null,null,null,null,null,null,null,null,null,null,null,null
166,0.80869,2047,null,null,null,null,null,null,null,null,null,null,null,null
167,0.81308,2047,null,null,null,null,null,null,null,null,null,null,null,null
168,0.81809,2047,null,null,null,null,null,null,null,null,null,null,null,null
169,0.82264,2047,null,null,null,null,null,null,null,null,null,null,null,null
170,0.82808,2047,null,null,null,null,null,null,null,null,null,null,null,null
171,0.83290,2047,null,null,null,null,null,null,null,null,null,null,null,null
172,0.83796,2047,null,null,null,null,null,null,null,null,null,null,null,null
173,0.84217,2047,null,null,null,null,null,null,null,null,null,null,null,null
174,0.84709,2047,null,null,null,null,null,null,null,null,null,null,null,null
175,0.85232,2047,null,null,null,null,null,null,null,null,null,null,null,null
176,0.85756,2047,null,null,null,null,null,null,null,null,null,null,null,null
177,0.86199,1745,null,null,null,null,null,null,null,null,null,null,null,null
178,0.86646,1787,null,null,null,null,null,null,null,null,null,null,null,null
179,0.87184,2047,null,null,null,null,null,null,null,null,null,null,null,null
180,0.87611,2034,null,null,null,null,null,null,null,null,null,null,null,null
181,0.88056,1955,null,null,null,null,null,null,null,null,null,null,null,null
182,0.88556,1882,null,null,null,null,null,null,null,null,null,null,null,null
183,0.89010,1813,null,null,null,null,null,null,null,null,null,null,null,null
